id,entity_id,CategoryName,sku,name,description,shortdesc,price,link,image,Brand,Rating,CaffeineType,Count,Flavored,Seasonal,Instock,Facebook,IsKCup
906,2583,"",6205,"","","",59.96,http://www.coffeeforless.com/green-mountain-wicked-winter-blend-k-cups-96ct.html,http://mcdn.coffeeforless.com/media/catalog/product//g/r/green-mountain-coffee-wicked-winter-blend-k-cups-96ct_1.jpg,"",5,Caffeinated,96,No,Yes,No,"",1
907,2585,"",102679,"","","",10.99,http://www.coffeeforless.com/gevalia-signature-blend-tassimo-t-discs-coffee-16ct.html,http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/gevalia-signature-blend-tassimo-t-discs-coffee-16ct.jpg,"",5,Caffeinated,16,No,No,Yes,1,""
908,2586,"",102680,"","","",10.99,http://www.coffeeforless.com/gevalia-signature-blend-decaffeinated-tassimo-t-discs-coffee-16ct.html,http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/gevalia-signature-blend-decaffeinated-tassimo-t-discs-coffee-16ct.jpg,"",5,Decaffeinated,16,No,No,Yes,1,""
909,2587,"",103449,"","","",10.99,http://www.coffeeforless.com/gevalia-morning-roast-tassimo-t-discs-coffee-14ct.html,http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/gevalia-morning-roast-tassimo-t-discs-coffee-14ct.jpg,"",5,Caffeinated,14,No,No,Yes,1,""
910,2588,"",105184,"","","",10.99,http://www.coffeeforless.com/gevalia-swiss-hazelnut-tassimo-t-discs-coffee-16ct.html,http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/gevalia-swiss-hazelnut-tassimo-t-discs-coffee-16ct.jpg,"",5,Caffeinated,16,Yes,No,Yes,1,""
911,2589,"",102684,"","","",10.99,http://www.coffeeforless.com/gevalia-signature-crema-tassimo-t-discs-coffee-16ct.html,http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/gevalia-signature-crema-tassimo-t-discs-coffee-16ct.jpg,"",5,Caffeinated,16,Yes,No,Yes,1,""
912,2590,"",102685,"","","",10.99,http://www.coffeeforless.com/gevalia-espresso-tassimo-t-discs-coffee-16ct.html,http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/gevalia-espresso-tassimo-t-discs-coffee-16ct.jpg,"",5,Caffeinated,16,No,No,Yes,1,""
913,2592,"",102681,"","","",11.99,http://www.coffeeforless.com/gevalia-cappuccino-tassimo-t-discs-coffee-8-espresso-8-special-milk.html,http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/gevalia-cappuccino-tassimo-t-discs-coffee-8-espresso-and-8-special-milk.jpg,"",5,Caffeinated,8,Yes,No,Yes,1,""
914,2593,"",102682,"","","",13.49,http://www.coffeeforless.com/gevalia-decaf-cappuccino-tassimo-t-discs-coffee-8-espresso-8-special-milk.html,http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/gevalia-decaffeinated-cappuccino-tassimo-t-discs-coffee-8-espresso-and-8-special-milk.jpg,"",5,Decaffeinated,8,Yes,No,Yes,1,""
915,2594,"",102683,"","","",13.49,http://www.coffeeforless.com/gevalia-latte-tassimo-t-discs-coffee-8-espresso-8-special-milk.html,http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/gevalia-latte-tassimo-t-discs-coffee-8-espresso-and-8-special-milk.jpg,"",5,Caffeinated,8,Yes,No,Yes,1,""
